"","dateTime","Qm3m","SSgDMm3","DRPgPm3","gTarPerFlow","tt_min.tot","segLg_M"
"1",2019-01-01 00:00:00,105.848362734241,185.150184176628,0.143404092231918,"Gtarget",1312.576863169,114467.81
"2",2019-01-01 00:15:00,101.940638267326,181.564399640282,0.143434951466082,"Gtarget",1320.51827263016,114467.81
"3",2019-01-01 00:30:00,98.202814864191,178.054763918031,0.14337908033504,"Gtarget",1328.84305166701,114467.81
"4",2019-01-01 00:45:00,95.6542989075078,175.606768211641,0.143288180523216,"Gtarget",1334.55362613584,114467.81
"5",2019-01-01 01:00:00,93.2756840146038,173.274388729116,0.143161486298169,"Gtarget",1340.0394061149,114467.81
"6",2019-01-01 01:15:00,90.7271680579206,170.716952758083,0.142977797624504,"Gtarget",1345.85803514893,114467.81
"7",2019-01-01 01:30:00,87.3291467823426,167.198319304425,0.142649971056691,"Gtarget",1354.68299034564,114467.81
"8",2019-01-01 01:45:00,84.9505318894386,164.650581191412,0.142360083239275,"Gtarget",1361.27556447108,114467.81
"9",2019-01-01 02:00:00,82.7418180603132,162.21423472543,0.142043436238931,"Gtarget",1367.5956417693,114467.81
"10",2019-01-01 02:15:00,79.3437967847358,158.317023758187,0.141461419484934,"Gtarget",1377.29094552283,114467.81
"11",2019-01-01 02:30:00,77.1350829556104,155.676203083179,0.14101781109978,"Gtarget",1383.89541252053,114467.81
"12",2019-01-01 02:45:00,74.926369126485,152.941814157674,0.140519852305014,"Gtarget",1391.41107040177,114467.81
"13",2019-01-01 03:00:00,72.8875563611382,150.328269718618,0.14000981748852,"Gtarget",1397.6392746278,114467.81
"14",2019-01-01 03:15:00,69.8293372131186,146.23427024034,0.139149740418697,"Gtarget",1408.27307436993,114467.81
"15",2019-01-01 03:30:00,66.9410191288776,142.162509895192,0.138227533693687,"Gtarget",1418.55665395001,114467.81
"16",2019-01-01 03:45:00,64.9022063635308,139.161449802443,0.1375092037731,"Gtarget",1427.15998918996,114467.81
"17",2019-01-01 04:00:00,62.0138882792904,134.723322676656,0.136391709751805,"Gtarget",1438.8602960125,114467.81
"18",2019-01-01 04:15:00,60.1449765777228,131.732655483579,0.135603666099032,"Gtarget",1446.60616639923,114467.81
"19",2019-01-01 04:30:00,58.4459659399337,128.93201040462,0.134841165600175,"Gtarget",1454.18860413323,114467.81
"20",2019-01-01 04:45:00,56.5770542383661,125.761475732195,0.133949792874892,"Gtarget",1463.20369461728,114467.81
"21",2019-01-01 05:00:00,54.0285382816829,121.288687079725,0.132641118359555,"Gtarget",1475.81086791198,114467.81
"22",2019-01-01 05:15:00,52.1596265801153,117.902369442483,0.131609109238744,"Gtarget",1485.47011715514,114467.81
"23",2019-01-01 05:30:00,50.6305170061054,115.067643092889,0.130716281705638,"Gtarget",1493.65717856094,114467.81
"24",2019-01-01 05:45:00,48.9315063683166,111.85351874862,0.129669792149248,"Gtarget",1503.17289107493,114467.81
"25",2019-01-01 06:00:00,47.2324957305278,108.575434457856,0.12856198987277,"Gtarget",1513.42474729263,114467.81
"26",2019-01-01 06:15:00,45.703386156518,105.57418950942,0.127508588260736,"Gtarget",1522.75429413347,114467.81
"27",2019-01-01 06:30:00,45.0237819014024,104.225778764805,0.127022164823852,"Gtarget",1526.8659583279,114467.81
"28",2019-01-01 06:45:00,44.1742765825081,102.528391356882,0.126397486563194,"Gtarget",1532.19976749148,114467.81
"29",2019-01-01 07:00:00,42.6451670084982,99.4418541997868,0.125223665720745,"Gtarget",1542.9807727166,114467.81
"30",2019-01-01 07:15:00,41.1160574344883,96.3185026113346,0.123981055766834,"Gtarget",1553.64912253502,114467.81
"31",2019-01-01 07:30:00,40.4364531793727,94.9195625635461,0.123404846563453,"Gtarget",1558.39194800148,114467.81
"32",2019-01-01 07:45:00,39.7568489242573,93.5144736361319,0.122812902223105,"Gtarget",1563.83265134781,114467.81
"33",2019-01-01 08:00:00,38.2277393502473,90.3322735887922,0.121419326871597,"Gtarget",1575.82251996704,114467.81
"34",2019-01-01 08:15:00,36.8685308400163,87.4819327149901,0.120102141528021,"Gtarget",1586.99471066787,114467.81
"35",2019-01-01 08:30:00,36.1889265849008,86.0499077770744,0.119413203252714,"Gtarget",1592.77569148741,114467.81
"36",2019-01-01 08:45:00,35.5093223297853,84.6136998708029,0.118702531987187,"Gtarget",1598.9907097095,114467.81
"37",2019-01-01 09:00:00,34.8297180746698,83.1735820071001,0.117968903952212,"Gtarget",1604.46015372408,114467.81
"38",2019-01-01 09:15:00,34.1501138195543,81.7298176917216,0.117211015100053,"Gtarget",1610.67144220532,114467.81
"39",2019-01-01 09:30:00,32.9608063731022,79.1952445584081,0.115822111388569,"Gtarget",1622.51419409161,114467.81
"40",2019-01-01 09:45:00,32.9608063731022,79.1952445584081,0.115822111388569,"Gtarget",1622.21747903988,114467.81
"41",2019-01-01 10:00:00,31.6015978628711,76.28765461765,0.114128188250922,"Gtarget",1636.01035435371,114467.81
"42",2019-01-01 10:15:00,31.6015978628711,76.28765461765,0.114128188250922,"Gtarget",1636.30834231639,114467.81
"43",2019-01-01 10:30:00,30.412290416419,73.7354062979867,0.112542748691264,"Gtarget",1648.42877414757,114467.81
"44",2019-01-01 10:45:00,29.7326861613035,72.2741035932154,0.111589609884619,"Gtarget",1655.50416214242,114467.81
"45",2019-01-01 11:00:00,29.2229829699669,71.1769408134213,0.11085078823889,"Gtarget",1661.46958560157,114467.81
"46",2019-01-01 11:15:00,28.5433787148514,69.7126786248561,0.109832156208848,"Gtarget",1668.92639236588,114467.81
