"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorb_MjHf_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorb_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorb_MjHf_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorb_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorb_MjHf_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorb_97.5per","perSorbP_97.5per","Yn","Yg"
"12",1989,1563361628,855250673529,82900414.18,0.003971584178375,102034624.625,52633145.9825,184935036.38,135533561.36,0.634896055744893,1.23080958803721,1563361628,855250673529,82900414.18,0.005315426365,146109006.05,65778741.58,229009416.375,148679154.13,0.793466983616945,1.7624641263282,1563361628,855250673529,82900414.18,0.006915210743,204385572.21525,74738706.693,287285984.765,157639119.954,0.901548049334486,2.46543487432369,1989,"L2003"
"13",1990,1620464699,516967475500,104157958.83,0.00770252545103975,63942002.45975,49311722.58575,168099959.9025,153469679.4835,0.473432113490563,0.613894542270285,1620464699,516967475500,104157958.83,0.0094411626365,88194111.584,62911310.68,192352069.235,167069270.2,0.603999073970716,0.846734254152818,1620464699,516967475500,104157958.83,0.0114026039515,129199607.81225,73354506.9745,233357562.8725,177512466.857,0.704262139912175,1.24041992818927,1990,"L2003"
"14",1991,1007891169,392344568777,65650947.8,0.002888874168625,37422135.988625,29687954.7975,103073085.605,95338901.815,0.452209081397299,0.570016690431162,1007891169,392344568777,65650947.8,0.0041823183,67861236.3,40760936.245,133512184.9,106411886.15,0.620873538173047,1.03366727479295,1007891169,392344568777,65650947.8,0.005622376846,104895860.1025,48831072.56175,170546808.0425,114482020.8575,0.743798440054661,1.59778135149025,1991,"L2003"
"15",1992,1240340288,302489504464,52494749.6,0.005077710915,34058143.69275,24397573.0599,86552893.19,76892319.75,0.464762157088182,0.648791430614806,1240340288,302489504464,52494749.6,0.006673194195,50397837.22,31583772.325,102892587.15,84078520.25,0.601655833500728,0.960054816986878,1240340288,302489504464,52494749.6,0.00822827562375,80757561.8675,37000295.4945,133252312.485,89495044.9325,0.704838022401006,1.53839312470023,1992,"L2003"
"16",1993,2726781588,605600196647,131106765.2,0.0088333954814425,76150997.1645,55243880.248,207257760.595,186350643.685,0.421365595922734,0.580831942946145,2726781588,605600196647,131106765.2,0.01089700892,104825752.285,68845753.81,235932516.25,199952515.35,0.525112138225496,0.799544951971708,2726781588,605600196647,131106765.2,0.0131990925105,136383811.57325,78689516.3055,267490576.8625,209796277.9375,0.60019417141031,1.04024999293667,1993,"L2003"
"17",1994,1333163356,365817011444,16736695.53,0.00343892083575,33234067.725,9016774.62825,49970763.2125,25753470.1345,0.538742824835865,1.9857006818,1333163356,365817011444,16736695.53,0.0046917809690824,61670774.845,11843764.28,78407468.855,28580459.95,0.707652490825947,3.68476410020467,1333163356,365817011444,16736695.53,0.006156777761,105397366.238,13875300.62825,122134061.51,30611995.03,0.829034656415836,6.29738206380576,1994,"L2003"
"18",1995,1540926530,427591138042,53848951.8,0.0051454173385,47254431.76325,26428984.1085,101103382.8375,80277933.8175,0.49079848771541,0.877536705612346,1540926530,427591138042,53848951.8,0.00655720465,72399739.075,32966678.8855,126248690.8,86815627.8,0.612206510684578,1.34449672008286,1540926530,427591138042,53848951.8,0.00851004123175,107777909.2835,38795181.23625,161626860.33,92644129.1575,0.720444501507456,2.00148574263427,1995,"L2003"
"19",1996,2874603671,638126264294,126977009.8,0.01073490082925,84650245.8635,58791418.097,211627254.7225,185768425.1625,0.463008368125865,0.666658050908835,2874603671,638126264294,126977009.8,0.01284617483,111206722.53,68372657.54,238183732.475,195349665.5,0.538464857911625,0.875802026722478,2874603671,638126264294,126977009.8,0.015443359146275,140262839.798475,77855197.825,267239849.07,204832204.01,0.613144048262192,1.10463177562144,1996,"L2003"
"20",1997,2714573176,648174449433,182344934.124,0.0071069720933575,79627260.42025,66298680.01625,261972192.005,248643613.30525,0.36358937162008,0.436684796332763,2714573176,648174449433,182344934.124,0.0091339457865,111758332.58,85880543.424,294103269.4,268225478.38,0.47097849927434,0.61289518744733,2714573176,648174449433,182344934.124,0.0110034190604025,148374686.6115,104323531.76225,330719621.284325,286668464.315,0.572121908751832,0.813703365680567,1997,"L2003"
"21",1998,2334375376,586196936072,150963382.7,0.00783801265765,73524901.21175,64977323.251,224488284.6825,215940707.8875,0.430417774753533,0.487037981639968,2334375376,586196936072,150963382.7,0.00967396542105,101631741.814,79009825.205,252595127.3,229973210.1,0.523370792253717,0.673221148044664,2334375376,586196936072,150963382.7,0.011719980810575,133442661.4175,91659915.66525,284406043.09,242623301.2575,0.607166546124632,0.883940588975024,1998,"L2003"
