"","Y","TargetMonths","HighFlow","Qm3window","gDRPwindow","gSSwindow","gTPwindow","key","key2","DRP_TP","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","Yn1975","Yg","Y2","mtSS_MjHf_pred","mtSS_MjHf_w75seds","mtSSmarJun_w2019seds","mtPsorbP_MjHf_obs","mtPsorbP_MjHf_w75seds","mtPsorbP_MjHf_w2019seds","mtPsorbP_MjHf_obsM75","mtPsorbP_MjHf_19m75","mtDRP_MjHf_w75ss","mtDRP_MjHf_pred","mtDRP_MjHf_pred_se"
"1",1975,"MarJun","G75th",1314716178.85712,118240854.032943,214627031103.221,443480035.659982,"MarJun_G75th","MarJun_G75th",0.26662046659435,1314.71617885712,118.240854032943,214627.031103221,443.480035659982,1975,"L2003","75",400047.106762543,400047.106762543,236291.913236065,30.5392802556773,56.9227028212423,33.6219763343597,-26.383422565565,23.3007264868826,118.240854032943,72.3315716343523,4.93576928467466
"2",1976,"MarJun","G75th",874870868.112317,78139863.1033839,225126394293.496,454056943.087824,"MarJun_G75th","MarJun_G75th",0.172092651137525,874.870868112317,78.1398631033839,225126.394293496,454.056943087824,1975,"L2003","76",228321.09563298,229554.744168185,175274.208619179,32.0332346440216,32.663344547691,24.939767144423,-0.630109903669393,7.72357740326799,78.1398631033839,47.595652440103,4.12015906856282
"3",1977,"MarJun","G75th",2047538883.98221,193320470.992056,902066404332.454,1586442997.64576,"MarJun_G75th","MarJun_G75th",0.121857811014287,2047.53888398221,193.320470992056,902066.404332454,1586.44299764576,1975,"L2003","77",668368.956977792,684103.049402922,337953.016050041,128.355028672465,97.3410228995418,48.0873346537603,31.0140057729231,49.2536882457815,193.320470992056,113.54388599776,8.47882366286122
"4",1982,"MarJun","G75th",3946766372.16205,254446510.30016,936538027619.716,1822713717.70973,"MarJun_G75th","MarJun_G75th",0.139597627333313,3946.76637216205,254.44651030016,936538.027619716,1822.71371770973,1975,"L2003","82",1290007.08500355,1420279.54976307,601424.05698894,133.259995950009,202.091577135787,85.5766290689562,-68.8315811857777,116.514948066831,254.44651030016,220.352203675543,19.9989513353574
"5",1983,"MarJun","G75th",1982190857.22732,114899722.712969,554733876479.236,1096392452.39301,"MarJun_G75th","MarJun_G75th",0.104797987675112,1982.19085722732,114.899722712969,554733.876479236,1096.39245239301,1975,"L2003","83",598793.766937967,658772.918104142,328887.586690173,78.9330832842305,93.7367985170384,46.7974147101447,-14.8037152328078,46.9393838068937,114.899722712969,109.86885873289,8.11568793642293
"6",1984,"MarJun","G75th",2739748438.8216,143441837.058084,729463284740.874,1493199949.53372,"MarJun_G75th","MarJun_G75th",0.0960633819354709,2739.7484388216,143.441837058084,729463.284740874,1493.19994953372,1975,"L2003","84",846372.732645623,952416.56675091,433980.044458393,103.795330785779,135.519353282987,61.7510205259847,-31.7240224972081,73.7683327570023,143.441837058084,152.472207377385,12.5385687397955
"7",1985,"MarJun","G75th",1602800422.60058,21072214.6292178,693705514822.5,1035466660.68064,"MarJun_G75th","MarJun_G75th",0.0203504520516059,1602.80042260058,21.0722146292178,693705.5148225,1035.46666068064,1975,"L2003","85",458200.94047736,511714.009062495,276256.507287897,98.7073577040935,72.8117863495024,39.3085384219949,25.8955713545911,33.5032479275075,21.0722146292178,88.5327869259467,6.14773992438449
"8",1986,"MarJun","G75th",1407416917.67189,32258411.3271583,353032658339.395,649357712.32991,"MarJun_G75th","MarJun_G75th",0.0496774131031945,1407.41691767189,32.2584113271583,353032.658339395,649.35771232991,1975,"L2003","86",389272.714438375,435979.666661864,249151.857767904,50.2330169551126,62.0355467693166,35.4518178417951,-11.8025298142041,26.5837289275216,32.2584113271583,77.5448544148067,5.28601271704995
"9",1987,"MarJun","G75th",356294763.620898,19373850.3222598,43367948227.0682,90292716.7321683,"MarJun_G75th","MarJun_G75th",0.214567143657087,356.294763620898,19.3738503222598,43367.9482270682,90.2927167321683,1975,"L2003","87",48942.0299119819,28544.8366395412,103334.545305157,6.17082535322954,4.06164480544032,14.7034724514707,2.10918054778922,-10.6418276460304,19.3738503222598,18.4320890158451,5.35151970989346
"10",1988,"MarJun","G75th",684771965.871407,25372750.8453274,172094694451.854,285623748.098002,"MarJun_G75th","MarJun_G75th",0.0888327774363553,684.771965871407,25.3727508453274,172094.694451854,285.623748098002,1975,"L2003","88",153810.634186852,155868.813733312,148902.66757606,24.4873540735543,22.178573506113,21.1873605693975,2.30878056744131,0.991212936715474,25.3727508453274,36.9049141967324,4.3233972615392
"11",1989,"MarJun","G75th",1563361628.46772,82900412.9601098,855250672906.614,1155553765.83443,"MarJun_G75th","MarJun_G75th",0.0717408530967379,1563.36162846772,82.9004129601098,855250.672906614,1155.55376583443,1975,"L2003","89",424631.782617152,496426.786429159,270785.345877144,121.693618247882,70.6365674410051,38.5300468648589,51.057050806877,32.1065205761462,82.9004129601098,86.314837112779,5.96270147025481
"12",1990,"MarJun","G75th",1620464696.39954,104157957.899861,516967475497.421,816869223.573801,"MarJun_G75th","MarJun_G75th",0.127508730766194,1620.46469639954,104.157957899861,516967.475497421,816.869223573801,1975,"L2003","90",436792.597950742,518561.015725814,278706.990252264,73.559302088528,73.786046927626,39.6572176429946,-0.226744839098046,34.1288292846314,104.157957899861,89.5261862839536,6.23215265431202
"13",1991,"MarJun","G75th",1007891168.17459,65650947.9509507,392344568779.349,588384398.655006,"MarJun_G75th","MarJun_G75th",0.11157832889693,1007.89116817459,65.6509479509507,392344.568779349,588.384398655006,1975,"L2003","91",249338.318008874,281115.928695137,193727.49930791,55.8267086916135,39.999985494031,27.5654858765225,15.8267231975825,12.4344996175085,65.6509479509507,55.0764174116868,4.18767292985248
"14",1992,"MarJun","G75th",1240340289.17727,52494748.845876,302489504463.829,519628716.852431,"MarJun_G75th","MarJun_G75th",0.101023571529793,1240.34028917727,52.494748845876,302489.504463829,519.628716852431,1975,"L2003","92",315100.792488193,371217.605022259,225974.090228204,43.0412315901582,52.8205530186172,32.1538532985711,-9.77932142845904,20.6666997200461,52.494748845876,68.1488374953759,4.69028151964759
"15",1993,"MarJun","G75th",2726781589.634,131106764.656382,605600196649.633,1196306485.15868,"MarJun_G75th","MarJun_G75th",0.109592956556607,2726.781589634,131.106764656382,605600.196649633,1196.30648515868,1975,"L2003","93",736622.988212314,947390.370723825,432181.213473476,86.1708519812763,134.804175850293,61.495064865141,-48.6333238690167,73.3091109851521,131.106764656382,151.74298070184,12.4601904408906
"16",1994,"MarJun","G75th",1333163356.75797,16736695.303759,365817011444.937,635856106.475016,"MarJun_G75th","MarJun_G75th",0.0263215138351692,1333.16335675797,16.736695303759,365817.011444937,635.856106475016,1975,"L2003","94",334502.469069105,407197.581865232,238851.00486367,52.0521025585001,57.9401439236039,33.9861094820516,-5.88804136510379,23.9540344415523,16.736695303759,73.3689997727695,5.00181040212398
