"","Yn","var","values"
"99",2007,"cyano_Stump_obs",17.451204137156
"100",2007,"cyano_Stump_woSorp",27.1793826974663
"101",2007,"cyano_modelMean_obs",19.169045030056
"102",2007,"cyano_modelMean_woSorp",24.3857797644322
"103",2008,"mtDRP_MjAllF",265.780372050525
"104",2008,"mtTP_MjAllF",1312.78741982864
"105",2008,"mtPsorbP_MjHf_50per",90.59986636
"106",2008,"mtDRPwoSorpP_MjAllf",356.380238410525
"107",2008,"mtPP_MjAllF",1047.00704777812
"108",2008,"mtPPwoSorpP_MjAllF",956.407181418119
"109",2008,"mtBioavaP_MjAllf_S",347.446921777218
"110",2008,"mtBioavaP_woSorp_MjAllf_S",430.979998561138
"111",2008,"mtBioavaP_MjAllf_B",925.39481215074
"112",2008,"mtBioavaP_woSorp_MjAllf_B",958.91676270394
"113",2008,"Bert_Year",1
"114",2008,"cyanos_Bert_obs",25.8573649996132
"115",2008,"cyanos_Bert_woSorp",26.7943035175751
"116",2008,"cyano_Stump_obs",21.744299931568
"117",2008,"cyano_Stump_woSorp",39.1702771900107
"118",2008,"cyano_modelMean_obs",23.8008324655906
"119",2008,"cyano_modelMean_woSorp",32.9822903537929
"120",2009,"mtDRP_MjAllF",204.883657574438
"121",2009,"mtTP_MjAllF",1336.28150770153
"122",2009,"mtPsorbP_MjHf_50per",101.1604183465
"123",2009,"mtDRPwoSorpP_MjAllf",306.044075920938
"124",2009,"mtPP_MjAllF",1131.39785012709
"125",2009,"mtPPwoSorpP_MjAllF",1030.23743178059
"126",2009,"mtBioavaP_MjAllf_S",293.132689884351
"127",2009,"mtBioavaP_woSorp_MjAllf_S",386.402595599824
"128",2009,"mtBioavaP_MjAllf_B",917.664303154507
"129",2009,"mtBioavaP_woSorp_MjAllf_B",955.093657942712
"130",2009,"Bert_Year",2
"131",2009,"cyanos_Bert_obs",25.6448672731685
"132",2009,"cyanos_Bert_woSorp",26.6910177394988
"133",2009,"cyano_Stump_obs",14.8300931979848
"134",2009,"cyano_Stump_woSorp",28.6121037917675
"135",2009,"cyano_modelMean_obs",20.2374802355766
"136",2009,"cyano_modelMean_woSorp",27.6515607656332
"137",2010,"mtDRP_MjAllF",311.446913938278
"138",2010,"mtTP_MjAllF",1268.1058134962
"139",2010,"mtPsorbP_MjHf_50per",83.8368324315
"140",2010,"mtDRPwoSorpP_MjAllf",395.283746369778
"141",2010,"mtPP_MjAllF",956.658899557926
"142",2010,"mtPPwoSorpP_MjAllF",872.822067126426
"143",2010,"mtBioavaP_MjAllf_S",386.066308103797
"144",2010,"mtBioavaP_woSorp_MjAllf_S",463.36386760564
"145",2010,"mtBioavaP_MjAllf_B",914.142020659772
"146",2010,"mtBioavaP_woSorp_MjAllf_B",945.161648659427
"147",2010,"Bert_Year",3
"148",2010,"cyanos_Bert_obs",25.5499894774406
