"","Yn","var","values","Yn2"
"1",2002,"Observed",15.3512291087032,"02"
"2",2002,"Without P sorption",16.8478731988909,"02"
"3",2003,"Observed",30.788889897688,"03"
"4",2003,"Without P sorption",36.6450477797417,"03"
"5",2004,"Observed",16.4306846579861,"04"
"6",2004,"Without P sorption",18.3205632160818,"04"
"7",2005,"Observed",5.10876811023557,"05"
"8",2005,"Without P sorption",5.2007591996637,"05"
"9",2006,"Observed",8.60467190506957,"06"
"10",2006,"Without P sorption",8.96704350497544,"06"
"11",2007,"Observed",19.1690449424519,"07"
"12",2007,"Without P sorption",21.0477470860465,"07"
"13",2008,"Observed",23.8008322590167,"08"
"14",2008,"Without P sorption",26.9827570369009,"08"
"15",2009,"Observed",20.2374803359279,"09"
"16",2009,"Without P sorption",22.6102352638493,"09"
"17",2010,"Observed",27.0471892511599,"10"
"18",2010,"Without P sorption",30.9257228084114,"10"
"19",2011,"Observed",77.9122139541742,"11"
"20",2011,"Without P sorption",109.709148524567,"11"
"21",2012,"Observed",5.66185934821873,"12"
"22",2012,"Without P sorption",5.8538360508997,"12"
"23",2013,"Observed",18.6219358620115,"13"
"24",2013,"Without P sorption",20.4925931217023,"13"
"25",2014,"Observed",24.575705308596,"14"
"26",2014,"Without P sorption",27.3486229967388,"14"
"27",2015,"Observed",54.6167489888092,"15"
"28",2015,"Without P sorption",67.7413323979651,"15"
"29",2016,"Observed",10.9277969311523,"16"
"30",2016,"Without P sorption",11.5301814263001,"16"
"31",2017,"Observed",27.7954538834735,"17"
"32",2017,"Without P sorption",32.051277215235,"17"
"33",2018,"Observed",16.5238692284004,"18"
"34",2018,"Without P sorption",17.6429055401307,"18"
"35",2019,"Observed",46.1156360545088,"19"
"36",2019,"Without P sorption",58.3007171108034,"19"
