"","Date","Stream","Added_ugP_L","Final_ugP_L","MassSed_g","P_change_ugP_g","Kd_Pu","ID","SampleDate","Season","Month","AmbP","Discharge","Percentile_flow","Percentile","GageHeight","pH","Model","EPC","NAP","sorp_capacity","Nitrate_Nitrite","Ammonia","Chlorophyll_ug_L","TempC","Turbidity_FNU","SPConductivity_us_cm","gDM_L_avg","gDM_avg","gAFDM_avg","gAFDM_L_avg","ugP_L_avg","ugPP_avg","mean_diam","ug_L_Chla","MeanMassSed_g","percentPP","percentOM","slope_ambP","DOY","mass_sorp_P_DM_m","est_K","est_Qmax","est_NAP","se_K","se_Qmax","se_NAP","t_K","t_Qmax","t_NAP","P_K","P_Qmax","P_NAP","P_change_ugP_gMOD","EPC0","EPCdif","P_change_ugP_gMODatAmb","sorp_capacityJMH","Sms_gPgDMmin","Svol_gPm3Min","NAP_gPgDM","Scap_gPgDM","Smax_gPgDM","AmbP_gPm3","EPC_gPm3","SS_gDMm3","PP_gPm3","Q_m3min","Percentile_flow26th","Svol_gPm3Min.log","SS_gDMm3.log","Svol_gPm3Min_pred","Svol_gPm3Min.log.pred","Svol_mgPm3hr.log.pred","Svol_mgPm3hr.log"
"158","2019-04-26","PR",77.43,48.62,0.0844,13.654028436019,280.831518634697,"Potato_Run_2019-04-26",2019-04-26,"Spring",4,207.41,122,95.3,"high",5.63,9.63,"Langmuir",34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489,0.00445847890427129,352.53348604074,47.3383305798318,0.000494380079279549,13.9223564149566,3.75232338800519,9.01832232149917,25.3213949947452,12.6157384864948,0.00287869975950874,0.000135074941285486,0.00107397843566119,15.466508696156,34.7895320026542,-0.000467997345779736,122.035482935752,305.18348604074,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023,749130369924.173,-8.447569808549,5.43652718761457,0.000189516202203409,-8.57103603734255,2.43106380386169,2.55453003265524
"159","2019-04-26","PR",154.85,72.78,0.0834,39.3621103117506,540.836910026801,"Potato_Run_2019-04-26",2019-04-26,"Spring",4,207.41,122,95.3,"high",5.63,9.63,"Langmuir",34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489,0.00445847890427129,352.53348604074,47.3383305798318,0.000494380079279549,13.9223564149566,3.75232338800519,9.01832232149917,25.3213949947452,12.6157384864948,0.00287869975950874,0.000135074941285486,0.00107397843566119,39.0293156440273,34.7895320026542,-0.000467997345779736,122.035482935752,305.18348604074,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023,749130369924.173,-8.447569808549,5.43652718761457,0.000189516202203409,-8.57103603734255,2.43106380386169,2.55453003265524
"160","2019-04-26","PR",309.7,134.41,0.0835,83.9712574850299,624.739658396175,"Potato_Run_2019-04-26",2019-04-26,"Spring",4,207.41,122,95.3,"high",5.63,9.63,"Langmuir",34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489,0.00445847890427129,352.53348604074,47.3383305798318,0.000494380079279549,13.9223564149566,3.75232338800519,9.01832232149917,25.3213949947452,12.6157384864948,0.00287869975950874,0.000135074941285486,0.00107397843566119,84.76034727374,34.7895320026542,-0.000467997345779736,122.035482935752,305.18348604074,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023,749130369924.173,-8.447569808549,5.43652718761457,0.000189516202203409,-8.57103603734255,2.43106380386169,2.55453003265524
"161","2019-04-26","PR",464.55,202.54,0.0857,122.291715285881,603.790437868475,"Potato_Run_2019-04-26",2019-04-26,"Spring",4,207.41,122,95.3,"high",5.63,9.63,"Langmuir",34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489,0.00445847890427129,352.53348604074,47.3383305798318,0.000494380079279549,13.9223564149566,3.75232338800519,9.01832232149917,25.3213949947452,12.6157384864948,0.00287869975950874,0.000135074941285486,0.00107397843566119,119.945695514907,34.7895320026542,-0.000467997345779736,122.035482935752,305.18348604074,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023,749130369924.173,-8.447569808549,5.43652718761457,0.000189516202203409,-8.57103603734255,2.43106380386169,2.55453003265524
"162","2019-04-26","PR",619.4,295.76,0.0852,151.943661971831,513.739728062723,"Potato_Run_2019-04-26",2019-04-26,"Spring",4,207.41,122,95.3,"high",5.63,9.63,"Langmuir",34.79,47.35,305.15,3248,157.7333333,9.35,12.75,328.63,238.3,0.229643289,0.0090351,0.002137867,0.054384254,323.8475986,3.356578096,4.432982456,5.37,0.094,0.037150426,23.66179677,5.2661399,116,56.02276489,0.00445847890427129,352.53348604074,47.3383305798318,0.000494380079279549,13.9223564149566,3.75232338800519,9.01832232149917,25.3213949947452,12.6157384864948,0.00287869975950874,0.000135074941285486,0.00107397843566119,153.151919554399,34.7895320026542,-0.000467997345779736,122.035482935752,305.18348604074,9.33712748166667e-07,0.000214420866470222,4.735e-05,0.00030515,0.0003525,0.20741,0.03479,229.643289,0.3238475986,207.27929781023,749130369924.173,-8.447569808549,5.43652718761457,0.000189516202203409,-8.57103603734255,2.43106380386169,2.55453003265524
"163","2019-05-01","LFR",0,14.9,0.0927,-6.42934196332255,-431.499460625674,"LFR_2019-05-01",2019-05-01,"Spring",5,177.84,64.4,84.4,"high",5.28,9.91,"Langmuir",23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004,0.00491129155156609,212.894108689379,22.2981520486696,0.000767637643897696,10.9513124096932,3.50967226273792,6.39792953173701,19.4400543720168,6.3533430985589,0.00773423713381565,0.000297342277004654,0.00788907118022887,-7.7812559576333,23.8209717049168,0.0109717049167983,76.9569200343577,190.604108689379,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597,361455368735.789,-8.87468924938378,5.95026313426353,0.000141235012053382,-8.86508530292431,2.13701453827993,2.12741059182046
"164","2019-05-01","LFR",77.43,45.22,0.1001,12.8711288711289,284.633544253182,"LFR_2019-05-01",2019-05-01,"Spring",5,177.84,64.4,84.4,"high",5.28,9.91,"Langmuir",23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004,0.00491129155156609,212.894108689379,22.2981520486696,0.000767637643897696,10.9513124096932,3.50967226273792,6.39792953173701,19.4400543720168,6.3533430985589,0.00773423713381565,0.000297342277004654,0.00788907118022887,16.3908229055531,23.8209717049168,0.0109717049167983,76.9569200343577,190.604108689379,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597,361455368735.789,-8.87468924938378,5.95026313426353,0.000141235012053382,-8.86508530292431,2.13701453827993,2.12741059182046
"165","2019-05-01","LFR",154.85,70.92,0.0971,34.5746652935118,487.516431098588,"LFR_2019-05-01",2019-05-01,"Spring",5,177.84,64.4,84.4,"high",5.28,9.91,"Langmuir",23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004,0.00491129155156609,212.894108689379,22.2981520486696,0.000767637643897696,10.9513124096932,3.50967226273792,6.39792953173701,19.4400543720168,6.3533430985589,0.00773423713381565,0.000297342277004654,0.00788907118022887,32.6988123153166,23.8209717049168,0.0109717049167983,76.9569200343577,190.604108689379,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597,361455368735.789,-8.87468924938378,5.95026313426353,0.000141235012053382,-8.86508530292431,2.13701453827993,2.12741059182046
"166","2019-05-01","LFR",309.7,146.18,0.0975,67.0851282051282,458.921385997593,"LFR_2019-05-01",2019-05-01,"Spring",5,177.84,64.4,84.4,"high",5.28,9.91,"Langmuir",23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004,0.00491129155156609,212.894108689379,22.2981520486696,0.000767637643897696,10.9513124096932,3.50967226273792,6.39792953173701,19.4400543720168,6.3533430985589,0.00773423713381565,0.000297342277004654,0.00788907118022887,66.671357496179,23.8209717049168,0.0109717049167983,76.9569200343577,190.604108689379,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597,361455368735.789,-8.87468924938378,5.95026313426353,0.000141235012053382,-8.86508530292431,2.13701453827993,2.12741059182046
"167","2019-05-01","LFR",464.55,241.26,0.0955,93.524607329843,387.650697711361,"LFR_2019-05-01",2019-05-01,"Spring",5,177.84,64.4,84.4,"high",5.28,9.91,"Langmuir",23.81,22.29,190.6,3966.666667,74.27466667,8,8.88,528.57,297.4,0.383854331,0.016954233,0.002859267,0.066685947,438.3738638,6.35502023,1.11,5.12,0.124766667,0.037483384,16.86462018,2.7280656,121,21.86534004,0.00491129155156609,212.894108689379,22.2981520486696,0.000767637643897696,10.9513124096932,3.50967226273792,6.39792953173701,19.4400543720168,6.3533430985589,0.00773423713381565,0.000297342277004654,0.00788907118022887,93.1570422255634,23.8209717049168,0.0109717049167983,76.9569200343577,190.604108689379,3.64422334e-07,0.000139885091219029,2.229e-05,0.0001906,0.00021289,0.17784,0.02381,383.854331,0.4383738638,109.416285073597,361455368735.789,-8.87468924938378,5.95026313426353,0.000141235012053382,-8.86508530292431,2.13701453827993,2.12741059182046
