dateTime,Days741001,SmpTimeWindowDay,QCFS,SS_mgL,TP_mgL,SRP_mgL,NO23_mgL,TKN_mgL,Cl_mgL,Sulfate_mgL,Silica_mgL,Cond_umho,Future,Month
5/4/2018 04:00,,0.33,75.00,134.980,0.460,0.092,7.79,2.261,13.6,29.0,6.63,421,,5
5/4/2018 12:00,,0.33,49.60,80.519,0.279,0.048,8.36,1.981,15.8,30.5,7.29,454,,5
5/4/2018 20:00,,0.33,36.50,48.780,0.177,0.035,8.37,1.456,17.7,34.2,7.48,495,,5
5/5/2018 04:00,,0.33,26.00,37.555,0.126,0.030,8.08,1.155,18.6,39.3,7.25,532,,5
5/5/2018 12:00,,0.67,18.40,25.000,0.089,0.024,7.55,0.867,19.9,42.7,6.87,560,,5
5/6/2018 12:00,,0.83,11.50,18.481,0.054,0.013,6.10,0.744,22.4,50.0,4.36,601,,5
5/7/2018 04:00,,0.45,9.47,18.193,0.051,0.012,5.34,0.655,23.3,52.5,2.17,606,,5
5/7/2018 09:25,,0.17,8.80,12.500,0.044,0.008,5.31,0.624,24.1,54.8,1.92,616,,5
5/7/2018 12:00,,0.55,8.09,14.575,0.045,0.004,5.21,0.572,25.2,64.0,1.75,618,,5
5/8/2018 12:00,,1.00,6.14,8.701,0.037,0.004,4.29,0.522,25.0,65.3,0.55,606,,5
5/9/2018 12:00,,1.00,5.40,12.345,0.039,0.004,3.67,0.597,26.2,68.2,0.42,598,,5
5/10/2018 12:00,,1.00,5.40,12.658,0.067,0.003,2.98,0.579,26.4,68.0,0.34,594,,5
5/11/2018 12:00,,1.00,4.85,15.743,2.719,1.426,4.14,8.978,27.1,70.4,0.46,637,,5
5/12/2018 12:00,,1.00,3.75,8.696,0.599,0.447,2.76,1.050,28.1,70.4,0.42,638,,5
5/13/2018 12:00,,0.83,3.62,7.840,0.360,0.295,2.64,0.683,26.8,69.8,0.36,621,,5
5/14/2018 04:00,,0.45,3.49,16.149,0.313,0.245,2.73,0.771,29.2,68.9,0.29,635,,5
5/14/2018 09:36,,0.17,3.62,19.244,0.282,0.198,2.44,0.732,29.3,69.1,0.32,632,,5
5/14/2018 12:00,,0.22,3.86,11.700,0.261,0.177,2.71,0.698,29.6,61.0,0.49,625,,5
5/14/2018 20:00,,0.33,7.75,30.400,0.251,0.166,2.92,0.842,30.9,61.5,0.90,623,,5
5/15/2018 04:00,,0.33,14.40,54.300,0.253,0.130,5.26,1.314,27.4,48.8,2.73,604,,5
5/15/2018 12:00,,0.33,17.50,41.600,0.151,0.056,6.14,0.843,24.0,49.5,2.91,580,,5
5/15/2018 20:00,,0.33,17.50,39.100,0.153,0.049,5.84,0.967,22.2,46.3,3.24,571,,5
5/16/2018 04:00,,0.33,18.80,31.800,0.149,0.050,7.32,1.113,23.1,43.6,4.91,568,,5
5/16/2018 12:00,,0.67,15.00,30.600,0.132,0.040,7.10,0.921,23.2,43.4,5.54,576,,5
